日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-7-1,09:35,390.970,390.970,385.000,387.360,36221700.0,93500
2024-7-1,09:40,386.310,393.860,386.310,392.170,17420152.0,44700
2024-7-1,09:45,392.160,392.160,387.180,388.680,18253726.0,46900
2024-7-1,09:50,388.680,391.290,388.580,390.220,18876376.0,48400
2024-7-1,09:55,390.240,392.160,389.760,392.000,7448820.0,19000
2024-7-1,10:00,392.000,392.880,389.040,392.820,6509738.0,16700
2024-7-1,10:05,391.860,392.800,389.100,389.100,8322589.0,21300
2024-7-1,10:10,389.100,390.630,387.070,390.470,8311858.0,21400
2024-7-1,10:15,390.380,391.860,389.840,389.840,5747122.0,14700
2024-7-1,10:20,390.780,390.780,386.000,386.110,7805869.0,20100
2024-7-1,10:25,386.110,386.920,385.600,386.300,6917440.0,17900
2024-7-1,10:30,386.330,386.910,384.980,385.700,6877142.0,17900
2024-7-1,10:35,385.720,386.000,384.200,386.000,9061285.0,23500
2024-7-1,10:40,386.000,386.920,385.030,385.740,6673037.0,17300
2024-7-1,10:45,384.560,386.200,384.560,385.070,5312798.0,13800
2024-7-1,10:50,385.140,385.540,382.790,383.420,9871001.0,25700
2024-7-1,10:55,383.390,384.530,383.040,383.700,15663236.0,40800
2024-7-1,11:00,383.200,383.630,382.330,383.580,13481819.0,35200
2024-7-1,11:05,383.550,385.280,383.290,385.020,5327102.0,13900
2024-7-1,11:10,385.220,386.000,384.630,386.000,3996272.0,10300
2024-7-1,11:15,385.980,386.950,385.410,386.950,3966425.0,10300
2024-7-1,11:20,386.850,386.930,386.190,386.930,1719209.0,4500
2024-7-1,11:25,387.000,387.090,386.250,387.080,3074358.0,7900
2024-7-1,11:30,387.000,387.430,386.180,387.430,3280261.0,8500
2024-7-1,13:05,386.700,388.000,386.100,387.890,5229742.0,13500
2024-7-1,13:10,387.890,389.730,387.810,389.360,5921175.0,15200
2024-7-1,13:15,389.360,390.000,388.670,389.130,5504927.0,14100
2024-7-1,13:20,389.300,392.680,389.300,392.190,7726105.0,19800
2024-7-1,13:25,392.180,392.430,391.560,392.280,4572198.0,11700
2024-7-1,13:30,392.260,392.420,391.520,391.710,3417324.0,8700
2024-7-1,13:35,391.680,392.980,391.680,392.970,5647797.0,14400
2024-7-1,13:40,392.890,393.600,391.720,392.640,6818564.0,17300
2024-7-1,13:45,392.550,392.570,391.670,392.390,2843313.0,7300
2024-7-1,13:50,391.970,392.300,390.780,391.610,3856677.0,9800
2024-7-1,13:55,391.610,392.260,391.390,392.000,4662956.0,11900
2024-7-1,14:00,391.890,392.970,391.320,391.650,3734106.0,9500
2024-7-1,14:05,392.960,392.960,391.320,391.320,3636727.0,9300
2024-7-1,14:10,391.360,392.090,391.020,391.750,2917582.0,7500
2024-7-1,14:15,391.150,391.770,390.130,390.200,4062548.0,10400
2024-7-1,14:20,390.740,390.850,389.550,389.550,4999582.0,12800
2024-7-1,14:25,389.570,390.270,388.000,389.470,4070028.0,10400
2024-7-1,14:30,388.930,390.000,388.800,389.060,4335924.0,11200
2024-7-1,14:35,390.070,390.070,388.500,388.570,5073722.0,13000
2024-7-1,14:40,388.500,388.980,387.000,387.990,7150363.0,18400
2024-7-1,14:45,387.400,387.990,387.010,387.340,3632331.0,9400
2024-7-1,14:50,387.070,387.830,387.070,387.400,4014729.0,10400
2024-7-1,14:55,387.090,388.230,387.090,388.230,5294037.0,13600
2024-7-1,15:00,388.230,389.290,387.340,387.340,5715836.0,14800
2024-7-2,09:35,387.330,390.410,384.530,389.340,28345920.0,73100
2024-7-2,09:40,390.530,393.880,390.300,392.060,22662320.0,57800
2024-7-2,09:45,392.060,393.750,390.480,391.550,15736465.0,40100
2024-7-2,09:50,391.640,392.390,387.410,388.070,15203726.0,39000
2024-7-2,09:55,388.070,388.890,385.170,386.660,15929070.0,41200
2024-7-2,10:00,386.740,386.920,383.070,383.550,16380374.0,42600
2024-7-2,10:05,383.980,383.980,381.660,381.660,21008448.0,54900
2024-7-2,10:10,381.160,382.260,377.840,378.480,42047376.0,110700
2024-7-2,10:15,378.300,381.150,378.300,380.400,26266346.0,69100
2024-7-2,10:20,380.410,380.490,376.280,377.650,28496132.0,75400
2024-7-2,10:25,377.650,378.790,377.100,378.310,9362164.0,24700
2024-7-2,10:30,378.000,378.190,377.000,377.300,22395316.0,59400
2024-7-2,10:35,377.360,378.450,376.110,376.340,32084784.0,85100
2024-7-2,10:40,376.110,376.880,374.210,376.330,53297856.0,142000
2024-7-2,10:45,377.760,378.580,376.330,377.530,8735837.0,23100
2024-7-2,10:50,377.600,378.500,376.720,377.660,10329023.0,27400
2024-7-2,10:55,377.890,379.000,377.890,378.440,6910373.0,18200
2024-7-2,11:00,378.440,378.440,377.170,377.390,6311298.0,16800
2024-7-2,11:05,377.520,377.890,375.270,375.270,6102634.0,16200
2024-7-2,11:10,375.280,375.950,374.500,375.330,13762059.0,36700
2024-7-2,11:15,375.790,376.930,375.300,375.850,6774208.0,18000
2024-7-2,11:20,375.900,377.040,375.860,376.110,5114905.0,13500
2024-7-2,11:25,376.110,376.970,375.530,376.540,6608317.0,17600
2024-7-2,11:30,376.580,376.870,376.320,376.710,4777955.0,12700
2024-7-2,13:05,376.300,378.440,376.300,378.440,10501806.0,27800
2024-7-2,13:10,378.430,378.430,377.150,377.500,5465598.0,14500
2024-7-2,13:15,377.420,377.910,376.890,377.390,7616424.0,20200
2024-7-2,13:20,376.880,379.060,376.570,378.330,7712018.0,20400
2024-7-2,13:25,378.940,379.030,377.990,379.030,6040386.0,15900
2024-7-2,13:30,379.000,379.960,378.170,379.960,10810688.0,28500
2024-7-2,13:35,379.960,379.990,378.240,378.470,11049964.0,29200
2024-7-2,13:40,378.760,378.760,377.300,377.310,8940217.0,23600
2024-7-2,13:45,377.310,377.850,376.620,377.350,15196263.0,40300
2024-7-2,13:50,377.270,377.500,376.630,377.150,8675266.0,23000
2024-7-2,13:55,377.120,377.120,376.150,376.540,8381232.0,22300
2024-7-2,14:00,376.540,376.680,376.500,376.640,7530264.0,20000
2024-7-2,14:05,376.900,378.500,376.690,376.930,14619491.0,38700
2024-7-2,14:10,376.990,376.990,376.090,376.500,9465791.0,25200
2024-7-2,14:15,376.830,377.400,376.090,377.350,8167136.0,21600
2024-7-2,14:20,377.350,378.420,377.310,377.490,8750734.0,23200
2024-7-2,14:25,377.550,377.940,376.600,377.280,7155560.0,19000
2024-7-2,14:30,377.330,377.390,376.820,376.870,7430143.0,19700
2024-7-2,14:35,376.910,378.150,376.800,376.880,11428060.0,30300
2024-7-2,14:40,377.190,377.400,376.880,376.990,10744685.0,28400
2024-7-2,14:45,376.780,378.190,376.580,377.080,17875028.0,47400
2024-7-2,14:50,377.430,378.540,377.390,378.500,7407877.0,19600
2024-7-2,14:55,378.420,378.800,377.970,378.610,7660088.0,20300
2024-7-2,15:00,378.380,378.880,378.120,378.120,7997646.0,21100
2024-7-3,09:35,381.500,381.500,372.000,378.220,27624808.0,73000
2024-7-3,09:40,377.870,380.000,377.610,378.890,14018344.0,37000
2024-7-3,09:45,378.230,379.600,377.440,379.140,11650674.0,30800
2024-7-3,09:50,378.820,378.950,375.990,377.110,12486110.0,33100
2024-7-3,09:55,377.110,378.420,376.230,378.390,7757748.0,20500
2024-7-3,10:00,378.330,379.500,378.160,378.930,6602095.0,17500
2024-7-3,10:05,378.620,379.030,377.330,377.330,13276715.0,35100
2024-7-3,10:10,377.690,377.800,377.120,377.210,7205415.0,19100
2024-7-3,10:15,377.180,377.650,376.200,376.430,5930989.0,15700
2024-7-3,10:20,376.590,376.730,375.660,375.660,6096010.0,16200
2024-7-3,10:25,375.660,376.200,375.600,375.740,6332434.0,16900
2024-7-3,10:30,375.780,376.620,375.780,376.620,5199695.0,13800
2024-7-3,10:35,376.610,376.730,375.680,376.700,5251646.0,13900
2024-7-3,10:40,376.700,376.720,376.240,376.410,3195721.0,8500
2024-7-3,10:45,376.410,376.720,376.180,376.180,2955860.0,7900
2024-7-3,10:50,376.710,376.710,375.000,375.000,3234509.0,8600
2024-7-3,10:55,375.000,375.520,373.580,374.900,8393974.0,22400
2024-7-3,11:00,374.900,374.900,373.600,374.220,5146536.0,13700
2024-7-3,11:05,374.240,374.600,373.720,374.450,3885675.0,10400
2024-7-3,11:10,374.300,374.450,373.810,373.940,3025184.0,8100
2024-7-3,11:15,373.800,373.800,373.000,373.410,5473848.0,14700
2024-7-3,11:20,373.410,374.360,373.090,373.410,3142055.0,8400
2024-7-3,11:25,373.400,373.640,372.500,373.040,3309391.0,8800
2024-7-3,11:30,372.690,373.640,372.370,373.000,7477417.0,20100
2024-7-3,13:05,372.630,374.930,372.630,373.420,7339197.0,19700
2024-7-3,13:10,373.420,374.420,372.850,373.870,7882780.0,21100
2024-7-3,13:15,373.290,374.600,373.290,373.990,5077160.0,13500
2024-7-3,13:20,373.990,375.550,373.930,375.250,7191058.0,19300
2024-7-3,13:25,375.280,375.800,374.340,375.000,5184021.0,13800
2024-7-3,13:30,375.240,375.250,374.400,375.180,2166861.0,5800
2024-7-3,13:35,375.190,375.190,374.340,374.410,3098628.0,8200
2024-7-3,13:40,374.410,374.510,373.350,373.950,4797117.0,12900
2024-7-3,13:45,373.420,373.940,372.680,372.680,9602561.0,25700
2024-7-3,13:50,372.670,373.110,372.000,372.250,10616069.0,28500
2024-7-3,13:55,372.650,373.130,372.300,372.780,9449211.0,25300
2024-7-3,14:00,372.860,373.390,372.550,372.550,6705847.0,18000
2024-7-3,14:05,372.300,373.000,372.290,372.300,18529592.0,49800
2024-7-3,14:10,372.300,372.840,372.300,372.450,10526679.0,28200
2024-7-3,14:15,372.450,372.890,372.310,372.890,5798879.0,15600
2024-7-3,14:20,372.960,373.100,372.450,372.550,5146845.0,13800
2024-7-3,14:25,372.550,372.960,372.500,372.560,3243507.0,8700
2024-7-3,14:30,372.540,373.780,372.450,373.420,4817907.0,12900
2024-7-3,14:35,373.420,374.490,373.390,374.310,6024861.0,16100
2024-7-3,14:40,373.770,373.770,373.230,373.760,3959556.0,10600
2024-7-3,14:45,373.230,373.610,372.960,373.100,5419598.0,14500
2024-7-3,14:50,373.100,373.770,372.830,373.770,4378533.0,11800
2024-7-3,14:55,373.770,374.000,373.600,374.000,4084858.0,10900
2024-7-3,15:00,374.300,374.370,373.180,373.180,8694899.0,23300
2024-7-4,09:35,373.860,379.600,370.460,379.330,43792384.0,116100
2024-7-4,09:40,379.660,385.000,379.660,383.060,34301456.0,89600
2024-7-4,09:45,383.760,385.990,382.000,385.600,28319464.0,73800
2024-7-4,09:50,385.090,386.880,384.010,386.800,21034832.0,54600
2024-7-4,09:55,386.000,386.500,384.330,385.250,10095636.0,26200
2024-7-4,10:00,385.240,386.820,384.310,386.690,13911606.0,36100
2024-7-4,10:05,386.670,387.310,384.890,386.300,22081480.0,57100
2024-7-4,10:10,386.290,387.130,385.530,386.310,12434186.0,32200
2024-7-4,10:15,386.340,387.600,386.020,386.720,10172237.0,26300
2024-7-4,10:20,387.120,387.570,385.670,387.570,17666980.0,45700
2024-7-4,10:25,387.560,387.820,386.800,387.100,11446893.0,29600
2024-7-4,10:30,386.810,387.080,385.650,386.400,9404076.0,24300
2024-7-4,10:35,386.020,386.660,385.650,386.000,8870528.0,23000
2024-7-4,10:40,386.000,386.280,385.500,386.000,7919306.0,20500
2024-7-4,10:45,386.000,386.220,385.510,385.510,6031999.0,15600
2024-7-4,10:50,385.550,386.160,385.550,386.020,5251120.0,13600
2024-7-4,10:55,386.020,386.950,385.630,386.880,5396840.0,14000
2024-7-4,11:00,386.590,386.870,385.820,385.920,5641714.0,14600
2024-7-4,11:05,386.000,386.560,385.800,385.800,4636595.0,12000
2024-7-4,11:10,386.400,386.420,385.260,386.370,3710376.0,9600
2024-7-4,11:15,386.340,386.350,385.900,386.280,2815343.0,7300
2024-7-4,11:20,386.200,386.200,385.000,385.870,5694194.0,14800
2024-7-4,11:25,385.880,385.880,384.510,385.080,4661911.0,12100
2024-7-4,11:30,385.080,385.920,384.830,385.390,4522028.0,11700
2024-7-4,13:05,385.390,386.600,384.500,385.180,13335888.0,34600
2024-7-4,13:10,385.180,386.020,384.810,385.260,3430495.0,8900
2024-7-4,13:15,385.190,385.530,384.260,384.840,6505948.0,16900
2024-7-4,13:20,384.830,384.830,382.840,382.840,8433695.0,22000
2024-7-4,13:25,382.830,383.110,380.980,380.980,6886765.0,18000
2024-7-4,13:30,381.000,381.590,380.500,380.590,5068459.0,13300
2024-7-4,13:35,380.590,381.450,379.580,379.950,9762704.0,25600
2024-7-4,13:40,380.070,381.430,380.050,380.990,4482884.0,11800
2024-7-4,13:45,380.990,381.340,380.120,380.120,3791370.0,10000
2024-7-4,13:50,380.120,380.770,380.050,380.260,4761143.0,12500
2024-7-4,13:55,380.230,380.800,380.060,380.420,3269089.0,8600
2024-7-4,14:00,380.420,380.420,379.930,379.930,4473548.0,11800
2024-7-4,14:05,379.950,380.190,379.000,379.000,6264247.0,16400
2024-7-4,14:10,379.000,379.000,378.490,378.670,5970625.0,15800
2024-7-4,14:15,378.670,379.120,378.220,378.220,6099216.0,16100
2024-7-4,14:20,378.290,379.220,378.250,378.550,9671830.0,25600
2024-7-4,14:25,378.550,379.030,378.100,378.190,5835855.0,15400
2024-7-4,14:30,378.200,378.600,377.170,377.350,7285268.0,19300
2024-7-4,14:35,377.580,379.000,377.580,378.600,8205089.0,21600
2024-7-4,14:40,378.630,379.870,378.370,378.670,5858289.0,15500
2024-7-4,14:45,378.760,379.630,378.330,378.330,4762220.0,12600
2024-7-4,14:50,378.480,379.000,378.330,379.000,6930856.0,18300
2024-7-4,14:55,379.000,379.820,378.960,379.600,10581900.0,27900
2024-7-4,15:00,379.310,379.600,378.380,378.810,7239451.0,19100
2024-7-5,09:35,375.020,383.010,373.500,378.880,34316888.0,90500
2024-7-5,09:40,378.690,378.690,374.000,374.990,24155046.0,64300
2024-7-5,09:45,374.990,376.020,373.210,373.820,18712676.0,50000
2024-7-5,09:50,373.820,375.590,373.820,375.080,9480599.0,25300
2024-7-5,09:55,374.330,375.720,373.860,374.610,9043763.0,24100
2024-7-5,10:00,374.600,374.610,372.290,372.390,10198136.0,27300
2024-7-5,10:05,372.380,372.480,371.370,372.340,8048035.0,21600
2024-7-5,10:10,372.370,372.860,371.800,371.800,4403857.0,11900
2024-7-5,10:15,371.820,372.280,370.150,370.920,13983323.0,37700
2024-7-5,10:20,370.860,370.860,369.000,370.240,14262286.0,38500
2024-7-5,10:25,370.970,371.180,369.480,371.170,7543680.0,20400
2024-7-5,10:30,371.170,371.170,370.320,370.320,5624905.0,15200
2024-7-5,10:35,370.310,371.560,370.310,371.540,4065692.0,10900
2024-7-5,10:40,371.550,371.650,370.620,371.420,4293615.0,11600
2024-7-5,10:45,371.640,372.030,370.070,370.070,4994179.0,13400
2024-7-5,10:50,370.620,371.240,370.130,370.730,4859315.0,13200
2024-7-5,10:55,370.750,371.990,370.750,371.500,1542115.0,4100
2024-7-5,11:00,371.620,372.470,371.620,372.110,3491623.0,9400
2024-7-5,11:05,371.700,371.700,371.000,371.090,1762706.0,4800
2024-7-5,11:10,371.450,372.020,371.240,371.760,4476233.0,12000
2024-7-5,11:15,371.770,372.370,371.750,371.960,896970.0,2400
2024-7-5,11:20,372.050,372.600,371.660,372.010,6405226.0,17200
2024-7-5,11:25,372.020,373.000,371.750,372.240,4667203.0,12600
2024-7-5,11:30,372.990,373.570,372.430,373.570,2288277.0,6100
2024-7-5,13:05,373.840,373.840,372.590,373.530,6438821.0,17300
2024-7-5,13:10,373.800,375.600,373.800,375.090,5690825.0,15100
2024-7-5,13:15,375.600,376.850,375.600,376.590,5267085.0,14000
2024-7-5,13:20,376.600,378.230,376.590,376.610,6771935.0,18000
2024-7-5,13:25,376.720,377.610,376.430,376.500,7506008.0,19900
2024-7-5,13:30,376.720,377.420,375.600,377.030,6986767.0,18600
2024-7-5,13:35,377.040,378.270,376.560,377.240,10064978.0,26600
2024-7-5,13:40,377.400,378.400,377.080,378.400,5108066.0,13500
2024-7-5,13:45,378.480,380.040,378.230,379.870,8264975.0,21800
2024-7-5,13:50,379.870,379.980,378.780,379.340,7761544.0,20500
2024-7-5,13:55,378.820,379.510,378.790,379.100,7654387.0,20200
2024-7-5,14:00,378.790,379.300,378.650,378.880,5090658.0,13400
2024-7-5,14:05,378.880,379.270,378.540,379.150,4645481.0,12300
2024-7-5,14:10,378.750,379.580,378.740,379.540,2944366.0,7700
2024-7-5,14:15,379.680,379.820,378.870,379.000,9461669.0,25000
2024-7-5,14:20,379.000,379.450,378.260,378.600,4838882.0,12800
2024-7-5,14:25,378.560,379.450,378.550,379.350,3636828.0,9600
2024-7-5,14:30,379.450,380.380,378.600,379.300,9642238.0,25400
2024-7-5,14:35,379.300,379.910,378.790,379.000,9261154.0,24400
2024-7-5,14:40,379.540,379.540,379.000,379.530,4551075.0,12000
2024-7-5,14:45,379.470,379.470,379.010,379.120,5445812.0,14300
2024-7-5,14:50,379.160,379.490,379.060,379.450,5234079.0,13800
2024-7-5,14:55,379.450,379.890,379.260,379.650,6438323.0,17000
2024-7-5,15:00,379.650,379.860,379.380,379.860,5550823.0,14600
2024-7-8,09:35,379.400,381.500,372.780,376.890,32045760.0,85200
2024-7-8,09:40,376.250,378.100,374.880,376.700,12753185.0,33900
2024-7-8,09:45,376.530,379.110,375.950,379.000,12896461.0,34100
2024-7-8,09:50,378.990,378.990,375.950,377.020,8413492.0,22300
2024-7-8,09:55,376.800,378.800,376.800,377.320,7435488.0,19700
2024-7-8,10:00,377.780,377.780,376.800,377.770,8998405.0,23900
2024-7-8,10:05,377.780,378.190,375.950,377.030,6724869.0,17800
2024-7-8,10:10,377.030,378.800,376.520,377.990,7621064.0,20200
2024-7-8,10:15,378.740,378.900,377.230,377.270,9173233.0,24300
2024-7-8,10:20,377.270,379.850,377.270,379.850,8495563.0,22400
2024-7-8,10:25,379.850,381.200,379.850,381.010,7500794.0,19700
2024-7-8,10:30,381.010,382.380,381.000,381.420,8222581.0,21500
2024-7-8,10:35,381.020,382.450,380.000,381.330,11525625.0,30300
2024-7-8,10:40,380.740,381.500,380.390,380.970,3933807.0,10300
2024-7-8,10:45,381.380,381.730,380.820,381.730,2731671.0,7200
2024-7-8,10:50,381.280,381.760,380.000,380.300,6662491.0,17500
2024-7-8,10:55,380.310,380.900,380.020,380.450,2808042.0,7400
2024-7-8,11:00,380.750,380.750,380.140,380.750,3079231.0,8000
2024-7-8,11:05,380.750,381.500,380.280,381.300,3152409.0,8300
2024-7-8,11:10,381.280,381.470,380.770,381.470,3076784.0,8100
2024-7-8,11:15,381.470,381.860,380.780,381.840,3263275.0,8500
2024-7-8,11:20,381.840,381.840,380.500,380.500,3383918.0,8900
2024-7-8,11:25,380.970,380.980,380.160,380.370,4721439.0,12400
2024-7-8,11:30,380.430,380.970,380.170,380.810,2809871.0,7400
2024-7-8,13:05,380.850,381.500,380.300,380.460,6088683.0,16000
2024-7-8,13:10,380.940,380.940,378.950,379.540,14436242.0,38000
2024-7-8,13:15,379.420,379.570,378.730,379.200,3727646.0,9800
2024-7-8,13:20,379.030,380.550,378.790,380.530,7524326.0,19900
2024-7-8,13:25,380.010,380.400,378.890,379.630,7224283.0,19000
2024-7-8,13:30,378.900,379.880,378.880,379.150,3679758.0,9700
2024-7-8,13:35,379.150,379.660,378.880,379.510,3401468.0,9000
2024-7-8,13:40,379.510,380.330,379.030,379.700,5412250.0,14200
2024-7-8,13:45,379.700,380.180,379.000,379.000,7362335.0,19400
2024-7-8,13:50,379.100,379.100,378.110,378.910,21238544.0,56100
2024-7-8,13:55,378.900,378.960,378.800,378.810,3721748.0,9800
2024-7-8,14:00,378.820,379.400,378.690,379.100,4437397.0,11700
2024-7-8,14:05,378.800,379.300,378.800,379.250,4563884.0,12100
2024-7-8,14:10,379.300,379.300,378.390,378.840,12515970.0,33000
2024-7-8,14:15,378.940,379.840,378.870,379.840,4286531.0,11300
2024-7-8,14:20,380.000,380.000,379.050,379.050,5593342.0,14800
2024-7-8,14:25,379.010,379.140,378.770,378.860,7014446.0,18500
2024-7-8,14:30,378.990,379.620,378.810,379.450,4829075.0,12700
2024-7-8,14:35,379.460,379.730,379.000,379.450,6126816.0,16200
2024-7-8,14:40,379.440,379.450,378.100,378.220,7029877.0,18500
2024-7-8,14:45,378.220,378.600,377.320,377.880,6431905.0,17000
2024-7-8,14:50,377.870,379.560,377.870,378.180,5644932.0,14900
2024-7-8,14:55,379.010,379.060,377.900,378.620,6359032.0,16800
2024-7-8,15:00,379.080,380.200,378.800,380.200,6388517.0,16900
2024-7-9,09:35,375.740,377.090,371.880,371.970,37001488.0,98900
2024-7-9,09:40,372.390,374.500,369.440,372.810,34249720.0,92200
2024-7-9,09:45,373.450,373.940,370.000,370.780,16203379.0,43700
2024-7-9,09:50,370.800,372.820,370.450,371.620,16168857.0,43500
2024-7-9,09:55,372.510,378.000,372.510,378.000,12200477.0,32600
2024-7-9,10:00,377.500,377.500,375.520,375.590,5075452.0,13400
2024-7-9,10:05,376.200,376.200,375.060,375.970,4354805.0,11600
2024-7-9,10:10,375.970,375.970,373.000,375.750,6315786.0,16900
2024-7-9,10:15,375.950,376.900,375.260,376.160,7881959.0,20900
2024-7-9,10:20,376.170,376.890,375.380,375.980,5119592.0,13700
2024-7-9,10:25,375.970,376.520,375.000,375.380,6567255.0,17500
2024-7-9,10:30,375.690,375.690,373.840,374.880,2527405.0,6700
2024-7-9,10:35,374.840,374.870,372.940,372.940,3858494.0,10300
2024-7-9,10:40,372.930,374.190,372.450,373.620,3951249.0,10600
2024-7-9,10:45,373.550,373.570,371.050,372.280,12223948.0,32800
2024-7-9,10:50,372.200,372.780,371.150,371.580,8193486.0,22000
2024-7-9,10:55,371.580,372.200,369.500,369.500,18848694.0,50900
2024-7-9,11:00,369.760,370.400,369.490,370.070,7120743.0,19200
2024-7-9,11:05,369.520,372.680,369.520,372.580,9194145.0,24800
2024-7-9,11:10,371.740,373.180,371.640,373.180,3311787.0,8900
2024-7-9,11:15,373.140,373.190,372.280,372.980,7294649.0,19600
2024-7-9,11:20,372.390,373.800,372.390,372.930,10139666.0,27200
2024-7-9,11:25,372.940,373.480,371.480,371.500,6572281.0,17600
2024-7-9,11:30,371.500,372.540,371.490,371.730,5605275.0,15100
2024-7-9,13:05,371.730,374.190,371.640,371.640,9099262.0,24400
2024-7-9,13:10,371.480,371.710,370.120,370.630,6325481.0,17100
2024-7-9,13:15,370.620,371.010,370.250,370.940,4471277.0,12000
2024-7-9,13:20,371.100,372.000,370.290,370.290,9163491.0,24700
2024-7-9,13:25,370.280,371.170,370.280,370.780,2792245.0,7500
2024-7-9,13:30,370.790,371.960,370.320,371.930,10117437.0,27300
2024-7-9,13:35,371.940,373.790,371.940,373.000,5773328.0,15500
2024-7-9,13:40,373.000,373.610,372.850,372.850,3980993.0,10600
2024-7-9,13:45,373.240,373.990,372.850,373.000,4643576.0,12500
2024-7-9,13:50,373.530,374.000,373.110,373.980,5587127.0,14900
2024-7-9,13:55,373.570,374.670,373.560,374.120,5119081.0,13700
2024-7-9,14:00,373.750,374.480,373.750,374.300,4128428.0,11100
2024-7-9,14:05,374.290,374.990,374.070,374.500,6277389.0,16700
2024-7-9,14:10,374.500,376.630,374.500,376.500,8644442.0,23000
2024-7-9,14:15,376.480,377.440,375.330,376.200,9043222.0,24100
2024-7-9,14:20,376.220,376.290,375.410,376.020,7872883.0,20900
2024-7-9,14:25,375.970,375.970,374.550,375.180,4830452.0,12900
2024-7-9,14:30,375.530,376.980,375.360,376.860,4454984.0,11800
2024-7-9,14:35,376.290,376.660,375.990,376.090,5680053.0,15100
2024-7-9,14:40,376.090,376.090,375.330,375.350,5957196.0,15900
2024-7-9,14:45,375.360,375.560,374.250,375.050,5462226.0,14500
2024-7-9,14:50,374.480,375.040,373.750,374.030,13039585.0,34900
2024-7-9,14:55,374.020,374.300,373.300,374.130,11140992.0,29800
2024-7-9,15:00,374.130,374.600,373.760,374.600,6370993.0,17000
2024-7-10,09:35,372.000,374.000,366.750,368.420,44605368.0,120500
2024-7-10,09:40,368.450,369.050,366.720,367.030,18322176.0,49800
2024-7-10,09:45,367.030,367.030,364.500,366.090,41917512.0,114700
2024-7-10,09:50,365.650,369.670,365.600,369.670,19825868.0,54100
2024-7-10,09:55,369.660,369.660,367.050,367.360,7406464.0,20100
2024-7-10,10:00,367.130,367.140,364.500,366.200,15477094.0,42300
2024-7-10,10:05,365.830,366.710,364.060,364.500,16459561.0,45100
2024-7-10,10:10,364.210,365.000,363.230,364.120,15803277.0,43400
2024-7-10,10:15,363.710,365.310,363.710,364.050,8685849.0,23800
2024-7-10,10:20,365.120,365.250,363.820,363.820,11169866.0,30700
2024-7-10,10:25,363.990,364.500,363.600,363.600,7472036.0,20500
2024-7-10,10:30,363.500,364.090,363.000,363.100,9377053.0,25800
2024-7-10,10:35,363.000,363.440,362.000,363.160,21565170.0,59500
2024-7-10,10:40,362.510,363.140,361.260,361.260,11488158.0,31700
2024-7-10,10:45,362.170,362.730,361.640,362.210,12761053.0,35200
2024-7-10,10:50,362.190,364.510,361.960,364.510,24406754.0,67300
2024-7-10,10:55,364.510,365.080,363.410,363.960,6916270.0,18900
2024-7-10,11:00,363.990,364.050,362.000,362.060,12933910.0,35700
2024-7-10,11:05,362.080,363.030,360.200,360.200,22938956.0,63400
2024-7-10,11:10,361.110,362.050,360.560,361.050,5859218.0,16200
2024-7-10,11:15,361.020,362.870,360.600,362.600,10354058.0,28600
2024-7-10,11:20,362.600,363.740,361.880,362.350,9979474.0,27600
2024-7-10,11:25,362.350,362.970,362.000,362.940,5405684.0,14900
2024-7-10,11:30,362.220,363.070,362.190,362.500,7549252.0,20800
2024-7-10,13:05,363.030,363.030,361.710,362.000,13362798.0,36900
2024-7-10,13:10,362.600,363.600,362.020,362.790,10136541.0,27900
2024-7-10,13:15,362.790,363.420,362.010,362.400,7838313.0,21600
2024-7-10,13:20,363.160,363.850,363.000,363.760,8632026.0,23700
2024-7-10,13:25,363.730,364.360,362.610,364.260,9481577.0,26100
2024-7-10,13:30,364.000,365.010,363.880,364.000,10756305.0,29500
2024-7-10,13:35,363.990,364.600,363.540,363.600,14371118.0,39500
2024-7-10,13:40,363.600,363.810,363.330,363.330,7669319.0,21100
2024-7-10,13:45,363.330,363.820,362.800,363.480,4597833.0,12700
2024-7-10,13:50,363.090,363.830,363.000,363.760,12342972.0,33900
2024-7-10,13:55,363.760,364.190,363.000,363.200,7873604.0,21700
2024-7-10,14:00,363.200,363.590,362.900,363.540,4441307.0,12200
2024-7-10,14:05,363.550,366.280,363.250,366.280,7370083.0,20200
2024-7-10,14:10,366.430,366.600,365.880,366.130,7935443.0,21700
2024-7-10,14:15,366.400,368.300,366.400,367.980,8737077.0,23800
2024-7-10,14:20,367.760,368.000,367.240,367.240,6906154.0,18800
2024-7-10,14:25,367.240,367.880,366.530,367.240,5049965.0,13700
2024-7-10,14:30,367.040,367.610,367.040,367.290,3904974.0,10600
2024-7-10,14:35,367.530,367.880,367.090,367.490,4101082.0,11200
2024-7-10,14:40,367.320,367.560,366.000,366.580,4173533.0,11400
2024-7-10,14:45,366.010,366.890,365.540,366.830,5400461.0,14700
2024-7-10,14:50,366.670,368.100,366.500,368.090,12007836.0,32700
2024-7-10,14:55,368.100,368.320,367.170,367.620,5630976.0,15300
2024-7-10,15:00,367.180,367.660,366.630,367.660,5667537.0,15400
2024-7-11,09:35,369.790,371.870,362.540,367.880,38678188.0,105500
2024-7-11,09:40,367.510,367.800,362.000,363.590,15973666.0,43800
2024-7-11,09:45,363.430,365.520,362.950,364.690,7102340.0,19500
2024-7-11,09:50,363.770,363.770,361.010,361.220,14241308.0,39300
