日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,94.000,96.670,93.940,95.850,223555200.0,2340900
2025-3-31,09:40,95.700,96.470,95.500,96.330,97909616.0,1020100
2025-3-31,09:45,96.280,96.290,95.510,95.740,59917164.0,625200
2025-3-31,09:50,95.650,95.940,95.590,95.760,63601036.0,664300
2025-3-31,09:55,95.720,96.150,95.320,95.400,46144768.0,482000
2025-3-31,10:00,95.410,96.070,95.410,95.800,47336680.0,494500
2025-3-31,10:05,95.810,96.110,95.690,96.110,36343288.0,378800
2025-3-31,10:10,96.090,96.230,95.880,96.000,33825048.0,352000
2025-3-31,10:15,96.120,96.330,95.810,95.860,34452716.0,358500
2025-3-31,10:20,95.890,95.920,95.600,95.640,23783336.0,248400
2025-3-31,10:25,95.700,96.120,95.650,95.820,29944336.0,312100
2025-3-31,10:30,95.820,95.890,95.020,95.020,40441220.0,423700
2025-3-31,10:35,95.080,95.260,95.010,95.160,39670816.0,416900
2025-3-31,10:40,95.160,95.360,94.970,95.000,43086444.0,453100
2025-3-31,10:45,94.940,95.050,94.740,94.900,41624120.0,438700
2025-3-31,10:50,94.910,94.920,94.700,94.720,26555020.0,280100
2025-3-31,10:55,94.710,94.710,94.620,94.660,33178348.0,350500
2025-3-31,11:00,94.640,95.040,94.580,95.010,33222180.0,350600
2025-3-31,11:05,94.980,95.090,94.890,94.890,24639562.0,259400
2025-3-31,11:10,94.880,94.990,94.590,94.940,24904514.0,263000
2025-3-31,11:15,94.940,94.950,94.780,94.950,15549759.0,163900
2025-3-31,11:20,94.980,95.430,94.920,95.400,18788304.0,197200
2025-3-31,11:25,95.400,95.420,94.750,94.750,22186276.0,233400
2025-3-31,11:30,94.750,95.130,94.750,94.910,11604510.0,122300
2025-3-31,13:05,95.200,96.570,95.100,96.040,140082928.0,1458500
2025-3-31,13:10,96.040,96.560,96.010,96.210,63860212.0,663200
2025-3-31,13:15,96.200,96.290,95.900,96.210,29880588.0,311000
2025-3-31,13:20,96.210,96.230,95.810,95.980,19279412.0,200800
2025-3-31,13:25,95.930,95.970,95.630,95.800,15536404.0,162200
2025-3-31,13:30,95.800,95.800,95.520,95.630,23502124.0,245800
2025-3-31,13:35,95.610,95.870,95.550,95.670,19255452.0,201300
2025-3-31,13:40,95.670,95.790,95.610,95.750,15377135.0,160700
2025-3-31,13:45,95.740,95.800,95.630,95.700,18120280.0,189300
2025-3-31,13:50,95.710,95.780,95.630,95.690,12456083.0,130200
2025-3-31,13:55,95.700,95.870,95.660,95.720,12260411.0,128000
2025-3-31,14:00,95.720,96.020,95.690,95.990,31505664.0,328400
2025-3-31,14:05,95.980,96.000,95.800,95.870,14081670.0,146800
2025-3-31,14:10,95.860,96.280,95.860,96.140,32594294.0,339000
2025-3-31,14:15,96.120,96.270,96.100,96.190,33451880.0,347800
2025-3-31,14:20,96.190,97.300,96.160,96.800,157138064.0,1622600
2025-3-31,14:25,96.870,97.200,96.870,97.080,76187792.0,784900
2025-3-31,14:30,97.090,97.100,96.820,96.880,38575464.0,397900
2025-3-31,14:35,96.900,97.500,96.900,97.480,83376776.0,857800
2025-3-31,14:40,97.420,97.610,97.290,97.530,80354816.0,824300
2025-3-31,14:45,97.520,97.820,97.400,97.720,89901000.0,921300
2025-3-31,14:50,97.660,97.850,97.660,97.790,68251352.0,698200
2025-3-31,14:55,97.790,97.960,97.710,97.910,90264400.0,922200
2025-3-31,15:00,97.920,98.120,97.920,98.120,109920464.0,1121300
2025-4-1,09:35,98.510,98.980,97.200,97.340,243019376.0,2481600
2025-4-1,09:40,97.300,97.400,96.720,97.100,155366688.0,1600500
2025-4-1,09:45,97.190,97.200,96.790,96.950,84453192.0,870900
2025-4-1,09:50,96.930,97.280,96.820,97.100,78860072.0,812500
2025-4-1,09:55,97.060,97.060,96.410,96.700,103200352.0,1067300
2025-4-1,10:00,96.690,96.750,96.500,96.690,49498728.0,512200
2025-4-1,10:05,96.660,96.660,96.310,96.550,73055792.0,757100
2025-4-1,10:10,96.560,96.880,96.520,96.790,40214416.0,415700
2025-4-1,10:15,96.770,96.950,96.610,96.950,37710284.0,389700
2025-4-1,10:20,96.940,96.990,96.650,96.810,32683240.0,337500
2025-4-1,10:25,96.830,96.940,96.700,96.700,28998212.0,299500
2025-4-1,10:30,96.720,96.900,96.680,96.720,32104564.0,331800
2025-4-1,10:35,96.700,96.800,96.450,96.600,45679640.0,473000
2025-4-1,10:40,96.600,96.910,96.590,96.910,26725160.0,276300
2025-4-1,10:45,96.900,96.980,96.790,96.890,23127760.0,238700
2025-4-1,10:50,96.950,97.450,96.950,97.210,40374392.0,415500
2025-4-1,10:55,97.220,97.220,96.970,97.010,19663320.0,202600
2025-4-1,11:00,97.010,97.180,96.800,96.850,29898414.0,308400
2025-4-1,11:05,96.840,96.890,96.720,96.780,14772065.0,152600
2025-4-1,11:10,96.750,96.830,96.600,96.790,22820608.0,236000
2025-4-1,11:15,96.790,97.010,96.780,97.010,11725456.0,121000
2025-4-1,11:20,97.020,97.080,96.920,97.000,8971647.0,92500
2025-4-1,11:25,97.000,97.170,97.000,97.130,16879244.0,173800
2025-4-1,11:30,97.120,97.220,97.000,97.220,13795807.0,142100
2025-4-1,13:05,97.220,97.400,97.010,97.030,22991180.0,236500
2025-4-1,13:10,97.000,97.050,96.890,96.960,17039300.0,175700
2025-4-1,13:15,96.950,97.020,96.890,96.910,15190118.0,156700
2025-4-1,13:20,96.920,96.930,96.800,96.810,17679174.0,182500
2025-4-1,13:25,96.810,97.070,96.680,96.890,34904956.0,360600
2025-4-1,13:30,96.900,97.020,96.860,96.860,10838615.0,111800
2025-4-1,13:35,96.850,96.910,96.700,96.890,19373924.0,200100
2025-4-1,13:40,96.890,96.980,96.730,96.950,16998934.0,175600
2025-4-1,13:45,96.940,96.940,96.820,96.880,11812218.0,122000
2025-4-1,13:50,96.880,97.150,96.880,97.040,19116360.0,196900
2025-4-1,13:55,97.040,97.200,97.020,97.120,17692886.0,182200
2025-4-1,14:00,97.120,97.130,96.920,97.000,13311718.0,137200
2025-4-1,14:05,96.970,97.070,96.940,97.020,12997564.0,134000
2025-4-1,14:10,97.040,97.190,96.990,97.120,15684922.0,161500
2025-4-1,14:15,97.130,97.130,96.970,97.030,14144904.0,145800
2025-4-1,14:20,97.030,97.090,96.970,97.040,11465988.0,118200
2025-4-1,14:25,97.040,97.060,96.960,96.980,16307378.0,168100
2025-4-1,14:30,97.040,97.050,96.890,96.970,19196570.0,198000
2025-4-1,14:35,96.970,97.190,96.970,97.050,23428718.0,241300
2025-4-1,14:40,97.050,97.140,96.980,96.980,18324944.0,188800
2025-4-1,14:45,96.970,97.050,96.960,96.980,19481726.0,200900
2025-4-1,14:50,96.980,97.020,96.900,97.010,30125516.0,310700
2025-4-1,14:55,97.020,97.150,97.000,97.150,45160092.0,465300
2025-4-1,15:00,97.150,97.180,97.100,97.180,51878560.0,534000
2025-4-2,09:35,97.600,99.270,97.210,98.800,290811968.0,2953300
2025-4-2,09:40,98.870,99.670,98.800,98.960,213455600.0,2150400
2025-4-2,09:45,98.950,99.680,98.940,99.300,204967904.0,2063600
2025-4-2,09:50,99.250,99.450,98.690,98.960,90075008.0,910100
2025-4-2,09:55,99.000,99.000,98.470,98.680,72926456.0,739400
2025-4-2,10:00,98.680,98.800,98.520,98.760,42987488.0,435700
2025-4-2,10:05,98.790,99.390,98.790,99.380,65002724.0,655900
2025-4-2,10:10,99.390,100.730,99.360,100.700,332065440.0,3325100
2025-4-2,10:15,100.770,101.460,100.520,101.210,281280320.0,2785700
2025-4-2,10:20,101.220,101.550,100.700,101.110,140852064.0,1391900
2025-4-2,10:25,101.120,101.410,100.940,101.410,100498304.0,993400
2025-4-2,10:30,101.460,101.650,100.850,100.870,116272536.0,1148200
2025-4-2,10:35,100.820,100.830,100.430,100.560,59578740.0,592100
2025-4-2,10:40,100.560,100.950,100.380,100.510,45842960.0,455900
2025-4-2,10:45,100.600,100.700,100.440,100.680,34143520.0,339600
2025-4-2,10:50,100.680,100.680,100.240,100.420,37626012.0,374700
2025-4-2,10:55,100.420,100.620,100.340,100.610,32336048.0,321800
2025-4-2,11:00,100.650,100.900,100.490,100.490,23089910.0,229100
2025-4-2,11:05,100.490,100.600,100.380,100.490,23061104.0,229500
2025-4-2,11:10,100.480,100.600,100.450,100.450,28416528.0,282600
2025-4-2,11:15,100.460,100.480,100.370,100.450,14118349.0,140600
2025-4-2,11:20,100.470,100.470,100.130,100.130,24441092.0,243800
2025-4-2,11:25,100.120,100.200,100.000,100.150,20800234.0,207800
2025-4-2,11:30,100.160,100.180,100.100,100.110,10666408.0,106500
2025-4-2,13:05,100.120,100.180,100.020,100.050,25363470.0,253400
2025-4-2,13:10,100.020,100.030,99.560,99.570,57962528.0,580800
2025-4-2,13:15,99.560,99.780,99.550,99.550,34698184.0,348200
2025-4-2,13:20,99.530,99.630,99.500,99.630,24669222.0,247800
2025-4-2,13:25,99.650,99.900,99.650,99.760,22480354.0,225200
2025-4-2,13:30,99.770,99.770,99.550,99.690,15901199.0,159600
2025-4-2,13:35,99.690,99.900,99.580,99.630,18859044.0,189000
2025-4-2,13:40,99.620,99.630,99.010,99.010,49654304.0,500200
2025-4-2,13:45,98.960,99.500,98.950,99.440,42330088.0,426900
2025-4-2,13:50,99.440,99.490,99.220,99.390,17931784.0,180500
2025-4-2,13:55,99.370,99.420,99.320,99.360,14724510.0,148200
2025-4-2,14:00,99.360,99.400,99.170,99.170,14140866.0,142400
2025-4-2,14:05,99.160,99.410,99.090,99.340,17881964.0,180200
2025-4-2,14:10,99.330,99.380,99.320,99.370,8265567.0,83200
2025-4-2,14:15,99.370,99.450,99.100,99.120,20225168.0,203700
2025-4-2,14:20,99.190,99.280,99.190,99.250,11868463.0,119600
2025-4-2,14:25,99.250,99.280,99.100,99.120,20359748.0,205300
2025-4-2,14:30,99.110,99.150,99.000,99.000,26800424.0,270600
2025-4-2,14:35,99.000,99.220,98.980,99.180,15774250.0,159100
2025-4-2,14:40,99.180,99.180,99.000,99.030,25001340.0,252400
2025-4-2,14:45,99.030,99.180,99.020,99.170,31296740.0,315900
2025-4-2,14:50,99.180,99.650,99.180,99.610,53436840.0,536900
2025-4-2,14:55,99.610,99.610,99.330,99.400,48489672.0,487700
2025-4-2,15:00,99.410,99.530,99.410,99.530,67861336.0,682000
2025-4-3,09:35,95.000,95.990,93.580,94.450,935105088.0,9878700
2025-4-3,09:40,94.350,95.210,93.690,95.210,286723936.0,3035200
2025-4-3,09:45,95.030,95.570,94.720,95.520,132200184.0,1388600
2025-4-3,09:50,95.510,95.550,95.030,95.470,94891688.0,995500
2025-4-3,09:55,95.470,95.850,95.160,95.360,80369512.0,841700
2025-4-3,10:00,95.360,95.360,94.630,94.630,109816344.0,1156300
2025-4-3,10:05,94.610,94.680,94.210,94.380,113474976.0,1201100
2025-4-3,10:10,94.380,94.500,94.270,94.310,76327136.0,809100
2025-4-3,10:15,94.320,94.560,94.250,94.520,44398244.0,470500
2025-4-3,10:20,94.510,94.550,94.000,94.230,103273328.0,1096300
2025-4-3,10:25,94.230,94.360,94.200,94.220,40174128.0,426100
2025-4-3,10:30,94.230,94.950,94.180,94.930,42371500.0,448700
2025-4-3,10:35,94.920,94.920,94.510,94.530,24177002.0,255400
2025-4-3,10:40,94.530,94.590,94.320,94.340,24210612.0,256300
2025-4-3,10:45,94.350,94.380,94.230,94.380,24400998.0,258700
2025-4-3,10:50,94.380,94.440,94.350,94.350,19058758.0,201900
2025-4-3,10:55,94.350,94.360,94.010,94.020,44809888.0,475900
2025-4-3,11:00,94.010,94.060,93.850,94.050,65059912.0,692400
2025-4-3,11:05,94.060,94.140,93.900,93.900,21541110.0,229000
2025-4-3,11:10,93.900,94.000,93.830,93.990,37708612.0,401700
2025-4-3,11:15,93.990,94.000,93.800,93.800,29223364.0,311300
2025-4-3,11:20,93.800,93.830,93.130,93.130,136819056.0,1461800
2025-4-3,11:25,93.120,93.170,92.010,92.020,198554320.0,2140800
2025-4-3,11:30,92.000,92.590,91.880,92.360,126720080.0,1373700
2025-4-3,13:05,92.360,92.360,91.330,92.100,120593752.0,1312100
2025-4-3,13:10,92.090,92.090,91.200,91.400,85168808.0,930900
2025-4-3,13:15,91.390,91.690,91.350,91.390,75823256.0,828800
2025-4-3,13:20,91.390,91.510,90.280,90.570,170982960.0,1881300
2025-4-3,13:25,90.580,90.590,90.000,90.010,205636640.0,2278700
2025-4-3,13:30,90.010,90.760,89.670,90.740,115498680.0,1284000
2025-4-3,13:35,90.640,91.210,90.520,91.000,66579392.0,733300
2025-4-3,13:40,90.950,91.550,90.810,91.500,53003092.0,581000
2025-4-3,13:45,91.520,91.750,91.000,91.010,51701296.0,565000
2025-4-3,13:50,91.010,91.400,90.590,91.300,39816148.0,437800
2025-4-3,13:55,91.310,91.910,91.300,91.900,46600188.0,508300
2025-4-3,14:00,91.920,91.920,91.470,91.470,37915064.0,413500
2025-4-3,14:05,91.410,91.760,91.400,91.640,38665144.0,422400
2025-4-3,14:10,91.650,92.030,91.620,92.020,33500576.0,364700
2025-4-3,14:15,92.030,92.120,91.670,91.770,34066292.0,370600
2025-4-3,14:20,91.780,91.980,91.770,91.970,15373479.0,167300
2025-4-3,14:25,91.980,92.040,91.460,91.470,40130348.0,437400
2025-4-3,14:30,91.480,91.670,91.480,91.640,28535744.0,311800
2025-4-3,14:35,91.650,92.120,91.650,91.910,30329654.0,329800
2025-4-3,14:40,91.900,92.030,91.880,91.920,25825268.0,280900
2025-4-3,14:45,91.930,92.000,91.900,92.000,44385680.0,482800
2025-4-3,14:50,92.000,92.150,91.980,92.150,54955016.0,597300
2025-4-3,14:55,92.170,92.710,92.160,92.710,56087288.0,607200
2025-4-3,15:00,92.730,92.930,92.700,92.780,59121272.0,636900
2025-4-7,09:35,79.750,79.880,77.010,78.000,786532928.0,9971400
2025-4-7,09:40,78.090,78.090,74.230,74.450,542967232.0,7198600
2025-4-7,09:45,74.500,75.530,74.500,74.970,199858400.0,2663700
2025-4-7,09:50,74.960,75.240,74.220,74.230,237809088.0,3184300
2025-4-7,09:55,74.230,75.000,74.220,75.000,130307208.0,1752100
2025-4-7,10:00,75.010,75.290,75.000,75.250,111390296.0,1482100
2025-4-7,10:05,75.280,75.660,75.160,75.530,81744576.0,1085000
2025-4-7,10:10,75.530,75.530,75.180,75.210,57567352.0,764700
2025-4-7,10:15,75.210,75.220,74.520,74.730,56891504.0,759800
2025-4-7,10:20,74.750,75.320,74.700,75.010,45532760.0,607400
2025-4-7,10:25,75.010,75.170,74.810,75.030,54455680.0,726000
2025-4-7,10:30,75.000,75.010,74.580,74.600,58696656.0,785400
2025-4-7,10:35,74.600,74.600,74.400,74.510,68415904.0,918300
2025-4-7,10:40,74.500,74.520,74.250,74.410,75991584.0,1021700
2025-4-7,10:45,74.440,74.700,74.440,74.700,42498924.0,569900
2025-4-7,10:50,74.690,75.280,74.690,74.810,39597488.0,527500
2025-4-7,10:55,74.780,74.790,74.380,74.440,39551744.0,530700
2025-4-7,11:00,74.430,74.450,74.300,74.320,48948928.0,658400
2025-4-7,11:05,74.320,74.330,74.220,74.230,70949896.0,955700
2025-4-7,11:10,74.220,74.260,74.220,74.220,53261736.0,717600
2025-4-7,11:15,74.220,74.220,74.220,74.220,8097402.0,109100
2025-4-7,11:20,74.220,74.220,74.220,74.220,7006368.0,94400
2025-4-7,11:25,74.220,74.220,74.220,74.220,5187978.0,69900
2025-4-7,11:30,74.220,74.220,74.220,74.220,3740688.0,50400
2025-4-7,13:05,74.220,74.220,74.220,74.220,15927612.0,214600
2025-4-7,13:10,74.220,74.220,74.220,74.220,5492280.0,74000
2025-4-7,13:15,74.220,74.220,74.220,74.220,5247354.0,70700
2025-4-7,13:20,74.220,74.220,74.220,74.220,10375956.0,139800
2025-4-7,13:25,74.220,74.220,74.220,74.220,7399734.0,99700
2025-4-7,13:30,74.220,74.220,74.220,74.220,7948962.0,107100
2025-4-7,13:35,74.220,74.220,74.220,74.220,13077564.0,176200
2025-4-7,13:40,74.220,74.220,74.220,74.220,14695560.0,198000
2025-4-7,13:45,74.220,74.220,74.220,74.220,10709946.0,144300
2025-4-7,13:50,74.220,74.220,74.220,74.220,11600586.0,156300
2025-4-7,13:55,74.220,74.220,74.220,74.220,17976084.0,242200
2025-4-7,14:00,74.220,74.220,74.220,74.220,6568470.0,88500
2025-4-7,14:05,74.220,74.220,74.220,74.220,5559078.0,74900
2025-4-7,14:10,74.220,74.220,74.220,74.220,5566500.0,75000
2025-4-7,14:15,74.220,74.220,74.220,74.220,3666468.0,49400
2025-4-7,14:20,74.220,74.220,74.220,74.220,3146928.0,42400
2025-4-7,14:25,74.220,74.220,74.220,74.220,6330966.0,85300
2025-4-7,14:30,74.220,74.220,74.220,74.220,2241444.0,30200
2025-4-7,14:35,74.220,74.220,74.220,74.220,5581344.0,75200
2025-4-7,14:40,74.220,74.220,74.220,74.220,7993494.0,107700
2025-4-7,14:45,74.220,74.220,74.220,74.220,5477436.0,73800
2025-4-7,14:50,74.220,74.220,74.220,74.220,4393824.0,59200
2025-4-7,14:55,74.220,74.220,74.220,74.220,11659962.0,157100
2025-4-7,15:00,74.220,74.220,74.220,74.220,12743574.0,171700
2025-4-8,09:35,75.740,76.200,73.650,73.850,473389504.0,6324500
2025-4-8,09:40,73.850,74.500,73.220,73.820,194994400.0,2635700
2025-4-8,09:45,73.770,73.770,72.380,72.440,240302880.0,3300300
2025-4-8,09:50,72.390,72.590,71.640,72.000,312172992.0,4330300
2025-4-8,09:55,71.990,72.000,70.950,70.950,299380704.0,4196000
2025-4-8,10:00,70.930,71.650,70.810,71.500,178283600.0,2503900
2025-4-8,10:05,71.510,72.160,71.510,71.830,88348440.0,1230700
2025-4-8,10:10,71.860,72.150,71.620,71.730,65233724.0,907500
2025-4-8,10:15,71.730,72.290,71.690,72.160,49933320.0,693300
2025-4-8,10:20,72.160,72.260,71.810,72.080,35556520.0,493700
2025-4-8,10:25,72.060,72.200,71.770,71.820,38873372.0,540000
2025-4-8,10:30,71.810,72.060,71.800,71.850,22775796.0,316900
2025-4-8,10:35,71.820,71.920,71.570,71.680,45386288.0,632800
2025-4-8,10:40,71.690,71.900,71.540,71.540,34664152.0,483300
2025-4-8,10:45,71.500,71.600,71.200,71.280,44731340.0,626600
2025-4-8,10:50,71.170,71.360,70.990,71.180,55689400.0,783000
2025-4-8,10:55,71.160,71.360,71.110,71.230,34924512.0,490500
2025-4-8,11:00,71.200,71.230,70.780,70.820,65802456.0,927300
2025-4-8,11:05,70.800,71.280,70.800,71.190,59582008.0,838700
2025-4-8,11:10,71.190,71.190,70.700,71.030,77558392.0,1093300
2025-4-8,11:15,71.040,71.340,70.970,71.190,30640866.0,430600
2025-4-8,11:20,71.200,71.530,71.190,71.480,34894756.0,488900
2025-4-8,11:25,71.460,71.600,71.350,71.460,32575680.0,455900
2025-4-8,11:30,71.470,71.600,71.400,71.600,27717488.0,387600
2025-4-8,13:05,71.660,71.710,70.300,70.690,107175168.0,1513600
2025-4-8,13:10,70.680,70.810,70.380,70.390,51929656.0,735500
2025-4-8,13:15,70.380,70.390,69.980,70.020,116894224.0,1666400
2025-4-8,13:20,70.000,70.190,69.700,70.050,91100952.0,1302900
2025-4-8,13:25,70.020,70.090,69.690,69.740,73555344.0,1053400
2025-4-8,13:30,69.710,69.710,69.220,69.320,135960576.0,1958900
2025-4-8,13:35,69.320,69.800,69.300,69.800,82736040.0,1190500
2025-4-8,13:40,69.800,69.850,69.440,69.730,71978576.0,1033600
2025-4-8,13:45,69.730,69.730,68.700,68.760,115539416.0,1672500
2025-4-8,13:50,68.770,69.000,68.770,68.920,97795952.0,1419500
2025-4-8,13:55,68.950,69.140,68.570,68.580,98041096.0,1422900
2025-4-8,14:00,68.590,69.000,68.560,69.000,76032800.0,1106200
2025-4-8,14:05,69.000,69.090,68.930,69.060,59194336.0,857300
2025-4-8,14:10,69.050,69.060,68.740,68.750,36800904.0,534300
2025-4-8,14:15,68.760,68.810,68.490,68.610,79463120.0,1157600
2025-4-8,14:20,68.550,68.690,68.430,68.520,62855648.0,917100
2025-4-8,14:25,68.600,68.900,68.530,68.900,45166136.0,657700
2025-4-8,14:30,68.900,69.000,68.810,68.990,47840172.0,694300
2025-4-8,14:35,69.000,69.030,68.800,68.820,44847632.0,650400
2025-4-8,14:40,68.810,69.570,68.800,69.570,66322564.0,959600
2025-4-8,14:45,69.570,70.400,69.510,70.000,84172944.0,1202900
2025-4-8,14:50,70.040,70.290,69.750,70.290,78012544.0,1113900
2025-4-8,14:55,70.270,70.570,70.080,70.290,87290848.0,1242100
2025-4-8,15:00,70.300,70.400,70.300,70.370,57791736.0,821200
2025-4-9,09:35,67.880,69.990,67.660,67.950,433939392.0,6351100
2025-4-9,09:40,67.930,67.940,66.450,66.620,327916480.0,4893500
2025-4-9,09:45,66.560,67.120,65.640,66.800,250164416.0,3771800
2025-4-9,09:50,66.930,68.460,66.900,68.460,124166144.0,1838200
2025-4-9,09:55,68.500,68.740,68.000,68.240,84417904.0,1235200
2025-4-9,10:00,68.290,69.230,68.230,68.960,84153936.0,1222500
2025-4-9,10:05,69.040,70.990,68.970,70.450,165198336.0,2352300
2025-4-9,10:10,70.390,70.430,69.500,69.630,72094112.0,1030800
2025-4-9,10:15,69.640,70.750,69.640,70.400,76917384.0,1092700
2025-4-9,10:20,70.380,71.250,70.380,70.620,91185072.0,1286200
2025-4-9,10:25,70.680,71.190,70.670,71.180,70271192.0,990700
2025-4-9,10:30,71.180,71.180,70.600,70.600,61722156.0,870100
2025-4-9,10:35,70.610,70.970,70.380,70.800,50632860.0,717100
2025-4-9,10:40,70.820,70.820,69.780,69.810,32610854.0,464000
2025-4-9,10:45,69.800,70.070,69.380,69.560,43691144.0,627000
2025-4-9,10:50,69.520,70.000,69.520,69.820,22008732.0,315500
2025-4-9,10:55,69.880,70.160,69.880,70.060,17421316.0,248700
2025-4-9,11:00,70.070,70.100,69.820,69.990,15135319.0,216300
2025-4-9,11:05,70.000,70.100,69.520,69.520,20490352.0,293600
2025-4-9,11:10,69.520,69.560,69.210,69.390,28642560.0,412800
2025-4-9,11:15,69.390,69.530,69.170,69.220,21590684.0,311500
2025-4-9,11:20,69.210,69.510,69.210,69.210,14305112.0,206300
2025-4-9,11:25,69.230,69.510,69.230,69.500,16741009.0,241400
2025-4-9,11:30,69.560,69.890,69.530,69.790,21436420.0,307200
2025-4-9,13:05,69.800,69.800,69.070,69.520,38274048.0,552000
2025-4-9,13:10,69.470,69.500,69.190,69.410,18532740.0,267200
2025-4-9,13:15,69.400,69.480,69.260,69.350,20894336.0,301300
2025-4-9,13:20,69.390,69.540,69.320,69.530,23022368.0,331600
2025-4-9,13:25,69.530,69.760,69.320,69.320,28147084.0,404800
2025-4-9,13:30,69.330,69.500,69.330,69.480,17050136.0,245700
2025-4-9,13:35,69.460,70.160,69.330,70.160,28113994.0,403700
2025-4-9,13:40,70.080,70.250,69.840,70.060,48288112.0,689400
2025-4-9,13:45,70.070,70.490,69.880,70.190,35749016.0,509300
2025-4-9,13:50,70.170,70.690,70.170,70.640,43574436.0,618400
2025-4-9,13:55,70.520,70.560,70.190,70.230,44269476.0,628600
2025-4-9,14:00,70.190,70.410,70.020,70.020,33369656.0,475100
2025-4-9,14:05,70.020,70.180,69.940,70.030,29665980.0,423500
2025-4-9,14:10,70.020,70.350,69.950,70.250,28993134.0,413200
2025-4-9,14:15,70.260,70.590,70.250,70.580,36665940.0,520300
2025-4-9,14:20,70.580,70.860,70.500,70.760,56390264.0,797800
2025-4-9,14:25,70.780,70.800,70.370,70.440,34778160.0,492800
2025-4-9,14:30,70.400,70.680,70.400,70.620,43960608.0,623400
2025-4-9,14:35,70.640,71.350,70.640,70.930,111090752.0,1562600
2025-4-9,14:40,70.900,71.030,70.540,70.550,46407552.0,655700
2025-4-9,14:45,70.540,70.570,70.200,70.430,77093456.0,1094200
2025-4-9,14:50,70.430,70.450,70.120,70.400,58977616.0,838800
2025-4-9,14:55,70.390,70.570,70.380,70.470,77192592.0,1095400
2025-4-9,15:00,70.460,70.460,70.350,70.410,60092940.0,853600
2025-4-10,09:35,79.000,81.380,79.000,79.910,1436292096.0,17923100
2025-4-10,09:40,79.680,80.680,79.340,80.140,369670720.0,4634200
2025-4-10,09:45,80.020,80.630,79.720,80.580,241431696.0,3015500
2025-4-10,09:50,80.540,80.540,80.060,80.200,132573720.0,1651100
2025-4-10,09:55,80.240,80.410,80.010,80.060,97967184.0,1221700
2025-4-10,10:00,80.040,81.240,80.040,80.910,232323984.0,2876700
2025-4-10,10:05,80.970,81.100,80.040,80.270,117289248.0,1456600
2025-4-10,10:10,80.200,80.210,79.710,79.900,91884016.0,1149700
2025-4-10,10:15,79.910,80.090,79.860,79.940,83757064.0,1047600
2025-4-10,10:20,79.940,80.100,79.870,80.050,55552044.0,694600
2025-4-10,10:25,80.090,80.300,80.090,80.250,50091384.0,624700
2025-4-10,10:30,80.250,80.250,79.950,80.060,35910816.0,448500
2025-4-10,10:35,80.020,80.020,79.600,79.710,65956944.0,826900
2025-4-10,10:40,79.630,79.800,79.500,79.600,53417076.0,671200
2025-4-10,10:45,79.630,79.690,79.320,79.330,63414904.0,797900
2025-4-10,10:50,79.320,79.500,79.210,79.210,54783444.0,690800
2025-4-10,10:55,79.210,79.220,78.560,78.640,92348656.0,1170100
2025-4-10,11:00,78.630,78.830,78.290,78.700,66807500.0,849600
2025-4-10,11:05,78.700,78.700,78.280,78.500,56555872.0,721400
2025-4-10,11:10,78.520,78.520,78.260,78.420,35478872.0,452600
2025-4-10,11:15,78.420,78.420,77.880,78.010,63100960.0,808100
2025-4-10,11:20,77.960,78.090,77.710,77.760,63073492.0,809600
2025-4-10,11:25,77.750,77.750,77.180,77.190,69064480.0,892100
2025-4-10,11:30,77.180,77.350,77.010,77.350,77853184.0,1009000
2025-4-10,13:05,77.360,77.380,76.740,76.880,88413512.0,1148600
2025-4-10,13:10,76.900,76.920,76.500,76.590,50991456.0,664400
2025-4-10,13:15,76.590,76.830,76.540,76.640,39932092.0,520800
2025-4-10,13:20,76.660,76.860,76.530,76.670,38681516.0,504600
2025-4-10,13:25,76.690,76.950,76.660,76.900,48275180.0,628600
2025-4-10,13:30,76.890,77.030,76.780,76.880,44906492.0,583700
2025-4-10,13:35,76.890,76.950,76.520,76.520,43182732.0,562800
2025-4-10,13:40,76.510,76.720,76.420,76.700,38353196.0,501100
2025-4-10,13:45,76.700,77.570,76.630,77.360,64872140.0,839500
2025-4-10,13:50,77.360,77.370,77.020,77.300,29650732.0,384300
2025-4-10,13:55,77.210,77.470,77.110,77.200,31670752.0,409600
2025-4-10,14:00,77.250,77.400,76.900,76.910,27062158.0,350700
2025-4-10,14:05,76.900,77.200,76.900,77.070,24728774.0,320900
2025-4-10,14:10,77.080,77.490,77.080,77.490,32169284.0,416000
2025-4-10,14:15,77.450,77.600,77.360,77.360,31867264.0,411300
2025-4-10,14:20,77.360,77.420,77.220,77.300,19912062.0,257500
2025-4-10,14:25,77.340,77.440,77.190,77.320,25407792.0,328700
2025-4-10,14:30,77.320,77.380,76.960,77.020,26790334.0,347500
2025-4-10,14:35,76.980,77.030,76.920,76.950,33345876.0,433100
2025-4-10,14:40,76.960,76.990,76.680,76.680,35658420.0,464200
2025-4-10,14:45,76.670,76.870,76.600,76.780,49593120.0,646300
2025-4-10,14:50,76.780,76.820,76.720,76.810,46446116.0,605000
2025-4-10,14:55,76.810,76.980,76.810,76.950,64787436.0,842300
2025-4-10,15:00,76.940,76.940,76.770,76.770,78426728.0,1021100
2025-4-11,09:35,75.400,76.800,75.400,76.120,376510240.0,4964900
